"corp_code","induty_code"
"00264255","271"
"00264529","58221"
"00264547","58221"
"00264556","2622"
"00264635","62021"
"00264644","28202"
"00264671","582"
"00264714","303"
"00264732","2642"
"00264741","2642"
"00264769","18200"
"00264787","303"
"00264796","5911"
"00264802","29271"
"00264811","27216"
"00264839","21100"
"00264848","46800"
"00264857","58221"
"00264945","61299"
"00264981","467"
"00265005","272"
"00265041","20421"
"00265078","4659"
"00265157","27111"
"00265218","263"
"00265227","29180"
"00265254","58221"
"00265263","4659"
"00265324","602"
"00265342","58221"
"00265421","26211"
"00266934","281"
"00266943","5821"
"00266952","582"
"00266961","63120"
"00266989","27199"
"00267021","27215"
"00267094","27199"
"00267474","27112"
"00267669","85691"
"00267720","72919"
"00267775","14111"
"00267793","2811"
"00267809","64209"
"00267854","468"
"00267881","2511"
"00267906","47111"
"00267942","649"
"00267951","2629"
"00267960","201"
"00267979","201"
"00267997","2611"
"00268002","423"
"00268011","46711"
"00268020","46599"
"00268118","2642"
"00268181","68112"
"00268251","26410"
"00268297","46800"
"00268358","58221"
"00268437","27212"
"00268482","58221"
"00269241","26310"
"00269287","46521"
"00269339","62021"
"00269612","2812"
"00269773","62021"
"00269852","58221"
"00269889","58221"
"00269922","27199"
"00269940","75210"
"00270113","27112"
"00270405","2642"
"00270432","60222"
"00271352","2642"
"00271413","2642"
"00271431","2642"
"00271501","261"
"00272412","28123"
"00273110","465"
"00273420","58221"
"00273439","27112"
"00273615","620"
"00274933","56130"
"00275260","2622"
"00275710","263"
"00275808","28202"
"00276083","264"
"00276834","2224"
"00277727","64201"
"00277736","63112"
"00277985","66199"
"00280688","591"
"00287724","26"
"00287788","8550"
"00287812","741"
"00288343","26429"
"00288495","467"
"00288653","26"
"00291152","21309"
"00291231","262"
"00291860","29133"
"00292434","211"
"00293886","28519"
"00294371","2642"
"00295370","272"
"00295547","263"
"00295857","303"
"00295875","58221"
"00296005","467"
"00296069","263"
"00296078","64992"
"00296263","468"
"00296290","66121"
"00296324","472"
"00297095","292"
"00297165","2629"
"00297448","424"
"00297934","46510"
"00297961","292"
"00297970","64201"
"00297989","7291"
"00298252","26"
"00298270","58221"
"00298340","29271"
"00298377","29271"
"00298447","2629"
"00298687","58121"
"00299002","64992"
"00299358","31114"
"00299376","2629"
"00299464","59114"
"00299686","2811"
"00299844","467"
"00300256","58221"
"00300405","303"
"00300548","32029"
"00300557","28519"
"00300566","62021"
"00300779","59201"
"00301015","21212"
"00301112","59120"
"00301246","2611"
"00301422","303"
"00301486","2642"
"00301626","26293"
"00302078","75991"
"00302120","2642"
"00302236","452"
"00302582","303"
"00302801","26211"
"00302926","31201"
"00303192","2622"
"00303217","292"
"00303396","2629"
"00303703","2642"
"00303794","59130"
"00303837","2642"
"00303873","59141"
"00304076","291"
"00304401","2642"
"00304915","66121"
"00305297","26519"
"00305570","467"
"00305668","303"
"00305695","2642"
"00305941","143"
"00306162","620"
"00306454","58221"
"00306719","26529"
"00306870","467"
"00306986","62021"
"00307028","212"
"00307037","15129"
"00307189","2629"
"00307222","857"
"00307897","64913"
"00308559","204"
"00308896","26293"
"00308948","5811"
"00309460","649"
"00309503","31311"
"00309831","2642"
"00309983","62021"
"00310156","211"
"00311216","262"
"00311270","27112"
"00311298","26410"
"00313649","204"
"00314000","58221"
"00314888","26211"
"00316488","2642"
"00317089","21309"
"00317104","2049"
"00317210","26291"
"00317487","292"
"00317681","213"
"00317830","264"
"00318316","289"
"00318477","62021"
"00318538","192"
"00318617","61210"
"00318662","411"
"00318839","64201"
"00319272","282"
"00320807","28123"
"00321204","421"
"00321222","26"
"00323868","582"
"00324104","26211"
"00325112","29271"
"00325918","291"
"00325981","2642"
"00326731","213"
"00327396","273"
"00327819","292"
"00328191","29111"
"00328854","5811"
"00329084","1090"
"00329093","141"
"00329677","2642"
"00330017","58221"
"00330044","262"
"00330406","59130"
"00330424","66121"
"00331016","639"
"00331733","715"
"00331760","29271"
"00332927","15121"
"00334244","30"
"00334493","71399"
"00334615","21212"
"00334624","63991"
"00334767","2612"
"00335076","62021"
"00335562","58221"
